
  [  80/2305]   3.5%  1438     no_sig      有結果=5  19.4/s  ETA 115s
  [  81/2305]   3.5%  1439     no_sig      有結果=5  19.5/s  ETA 114s
  [  82/2305]   3.6%  1440     no_ev       有結果=5  19.5/s  ETA 114s
  [  83/2305]   3.6%  1441     no_sig      有結果=5  19.6/s  ETA 114s
  [  84/2305]   3.6%  1442     sig,ev=5    有結果=6  19.2/s  ETA 116s
  [  85/2305]   3.7%  1443     no_ev       有結果=6  19.3/s  ETA 115s
  [  86/2305]   3.7%  1444     no_ev       有結果=6  19.3/s  ETA 115s
  [  87/2305]   3.8%  1445     no_ev       有結果=6  19.4/s  ETA 114s
  [  88/2305]   3.8%  1446     sig,ev=8    有結果=7  18.9/s  ETA 117s
  [  89/2305]   3.9%  1447     no_ev       有結果=7  18.9/s  ETA 117s
  [  90/2305]   3.9%  1449     no_sig      有結果=7  18.9/s  ETA 117s
  [  91/2305]   3.9%  1451     no_ev       有結果=7  18.9/s  ETA 117s
  [  92/2305]   4.0%  1452     no_ev       有結果=7  19.0/s  ETA 117s
  [  93/2305]   4.0%  1453     no_sig      有結果=7  19.0/s  ETA 116s
  [  94/2305]   4.1%  1454     no_sig      有結果=7  19.1/s  ETA 116s
  [  95/2305]   4.1%  1455     no_sig      有結果=7  19.1/s  ETA 116s
  [  96/2305]   4.2%  1456     no_ev       有結果=7  19.2/s  ETA 115s
  [  97/2305]   4.2%  1457     no_ev       有結果=7  19.2/s  ETA 115s
  [  98/2305]   4.3%  1459     no_sig      有結果=7  19.2/s  ETA 115s
  [  99/2305]   4.3%  1460     no_ev       有結果=7  19.2/s  ETA 115s
  [ 100/2305]   4.3%  1463     no_sig      有結果=7  19.2/s  ETA 115s
  [ 101/2305]   4.4%  1464     no_ev       有結果=7  19.2/s  ETA 115s
  [ 102/2305]   4.4%  1465     no_ev       有結果=7  19.3/s  ETA 114s
  [ 103/2305]   4.5%  1466     sig,ev=6    有結果=8  19.2/s  ETA 115s
  [ 104/2305]   4.5%  1467     no_ev       有結果=8  19.2/s  ETA 115s
  [ 105/2305]   4.6%  1468     no_ev       有結果=8  19.3/s  ETA 114s
  [ 106/2305]   4.6%  1470     no_ev       有結果=8  19.4/s  ETA 113s
  [ 107/2305]   4.6%  1471     no_sig      有結果=8  19.4/s  ETA 113s
  [ 108/2305]   4.7%  1472     no_sig      有結果=8  19.5/s  ETA 113s
  [ 109/2305]   4.7%  1473     no_sig      有結果=8  19.6/s  ETA 112s
  [ 110/2305]   4.8%  1474     no_ev       有結果=8  19.6/s  ETA 112s
  [ 111/2305]   4.8%  1475     no_ev       有結果=8  19.7/s  ETA 111s
  [ 112/2305]   4.9%  1476     no_ev       有結果=8  19.7/s  ETA 111s
  [ 113/2305]   4.9%  1477     no_sig      有結果=8  19.7/s  ETA 111s
  [ 114/2305]   4.9%  1480     no_ev       有結果=8  19.8/s  ETA 111s
