
  [  79/2869]   2.8%  00694B   no_ev       有結果=8  18.4/s  ETA 152s
  [  80/2869]   2.8%  00695B   no_ev       有結果=8  18.5/s  ETA 151s
  [  81/2869]   2.8%  00696B   no_ev       有結果=8  18.6/s  ETA 150s
  [  82/2869]   2.9%  00697B   no_ev       有結果=8  18.7/s  ETA 149s
  [  83/2869]   2.9%  00700    no_sig      有結果=8  18.6/s  ETA 150s
  [  84/2869]   2.9%  00701    no_sig      有結果=8  18.4/s  ETA 151s
  [  85/2869]   3.0%  00702    no_ev       有結果=8  18.6/s  ETA 150s
  [  86/2869]   3.0%  00703    no_sig      有結果=8  18.7/s  ETA 149s
  [  87/2869]   3.0%  00706L   no_sig      有結果=8  18.7/s  ETA 148s
  [  88/2869]   3.1%  00707R   no_ev       有結果=8  18.9/s  ETA 147s
  [  89/2869]   3.1%  00708L   sig,ev=66   有結果=9  18.8/s  ETA 148s
  [  90/2869]   3.1%  00709    no_ev       有結果=9  18.9/s  ETA 147s
  [  91/2869]   3.2%  00710B   no_ev       有結果=9  19.0/s  ETA 146s
  [  92/2869]   3.2%  00711B   no_ev       有結果=9  19.1/s  ETA 145s
  [  93/2869]   3.2%  00712    no_ev       有結果=9  19.1/s  ETA 145s
  [  94/2869]   3.3%  00713    no_sig      有結果=9  19.0/s  ETA 146s
  [  95/2869]   3.3%  00714    no_ev       有結果=9  19.1/s  ETA 145s
  [  96/2869]   3.3%  00715L   no_sig      有結果=9  19.0/s  ETA 146s
  [  97/2869]   3.4%  00717    no_ev       有結果=9  19.1/s  ETA 145s
  [  98/2869]   3.4%  00718B   no_ev       有結果=9  19.2/s  ETA 144s
  [  99/2869]   3.5%  00719B   no_ev       有結果=9  19.3/s  ETA 143s
  [ 100/2869]   3.5%  00720B   no_ev       有結果=9  19.3/s  ETA 143s
  [ 101/2869]   3.5%  00721B   no_ev       有結果=9  19.5/s  ETA 142s
  [ 102/2869]   3.6%  00722B   no_ev       有結果=9  19.5/s  ETA 142s
  [ 103/2869]   3.6%  00723B   no_ev       有結果=9  19.7/s  ETA 141s
  [ 104/2869]   3.6%  00724B   no_ev       有結果=9  19.8/s  ETA 140s
  [ 105/2869]   3.7%  00725B   no_ev       有結果=9  19.8/s  ETA 140s
